station_id,timestamp,temperature_c,relative_humidity_pct,pressure_hpa,anomaly_type
AWS_AP01,2025-01-27 00:00:00,15.457,81.921,1008.1,cold_spell
AWS_AP02,2025-01-27 00:00:00,17.068,86.637,1010.6,cold_spell
AWS_AP03,2025-01-27 00:00:00,19.878,72.175,991.428,cold_spell
AWS_AP04,2025-01-27 00:00:00,16.95,84.561,1010.676,cold_spell
AWS_AP05,2025-01-27 00:00:00,18.46,66.558,977.271,cold_spell
AWS_AP06,2025-01-27 00:00:00,17.557,81.769,1012.677,cold_spell
AWS_AP07,2025-01-27 00:00:00,16.475,88.21,1009.31,cold_spell
AWS_AP08,2025-01-27 00:00:00,19.5,65.084,995.757,cold_spell
AWS_AP09,2025-01-27 00:00:00,18.573,64.731,970.027,cold_spell
AWS_AP10,2025-01-27 00:00:00,16.941,82.995,1009.41,cold_spell
AWS_AP11,2025-01-27 00:00:00,18.861,69.895,972.006,cold_spell
AWS_AP12,2025-01-27 00:00:00,15.805,81.807,1010.027,cold_spell
AWS_AP13,2025-01-27 00:00:00,17.162,89.19,1013.153,cold_spell
AWS_AP14,2025-01-27 00:00:00,16.626,82.656,1010.171,cold_spell
AWS_AP15,2025-01-27 00:00:00,17.577,80.873,1013.089,cold_spell
AWS_AP16,2025-01-27 00:00:00,15.711,85.532,997.579,cold_spell
AWS_AP17,2025-01-27 00:00:00,19.726,62.418,995.395,cold_spell
AWS_AP18,2025-01-27 00:00:00,16.534,73.329,949.791,cold_spell
AWS_AP19,2025-01-27 00:00:00,17.503,85.904,1013.016,cold_spell
AWS_AP20,2025-01-27 00:00:00,17.352,63.413,937.313,cold_spell
AWS_AP01,2025-01-24 02:45:00,6.779,77.851,1006.41,drop
AWS_AP02,2025-06-23 02:00:00,9.459,92.398,999.544,drop
AWS_AP03,2025-01-15 02:45:00,-1.362,78.375,989.919,drop
AWS_AP04,2025-06-22 11:15:00,14.856,76.34,999.045,drop
AWS_AP05,2025-04-22 02:15:00,10.13,47.251,971.795,drop
AWS_AP06,2025-10-23 13:15:00,16.706,68.028,1008.689,drop
AWS_AP07,2025-02-14 14:30:00,14.315,56.884,1008.317,drop
AWS_AP08,2025-10-10 20:00:00,13.136,45.589,991.254,drop
AWS_AP09,2025-04-03 09:30:00,12.748,27.709,966.619,drop
AWS_AP10,2025-05-31 15:15:00,20.385,65.008,999.385,drop
AWS_AP11,2025-04-01 12:15:00,18.369,14.984,967.454,drop
AWS_AP12,2025-05-07 18:00:00,14.038,58.626,1001.164,drop
AWS_AP13,2025-05-13 03:15:00,6.168,75.14,1000.501,drop
AWS_AP14,2025-07-15 03:30:00,5.967,90.204,998.202,drop
AWS_AP15,2025-07-15 12:00:00,17.237,73.932,1004.645,drop
AWS_AP16,2025-05-18 17:15:00,13.925,61.483,988.737,drop
AWS_AP17,2025-07-10 06:00:00,7.065,70.553,983.715,drop
AWS_AP18,2025-10-26 21:15:00,8.11,43.988,947.154,drop
AWS_AP19,2025-10-06 22:45:00,8.185,83.107,1006.031,drop
AWS_AP20,2025-03-28 06:15:00,7.443,50.272,933.128,drop
AWS_AP01,2025-03-14 15:00:00,35.337,41.18,1004.23,heatwave
AWS_AP02,2025-03-14 15:00:00,36.433,45.485,1005.554,heatwave
AWS_AP03,2025-03-14 15:00:00,39.417,5.0,986.391,heatwave
AWS_AP04,2025-03-14 15:00:00,35.891,45.987,1004.499,heatwave
AWS_AP05,2025-03-14 15:00:00,39.197,9.287,973.84,heatwave
AWS_AP06,2025-03-14 15:00:00,36.72,45.456,1007.562,heatwave
AWS_AP07,2025-03-14 15:00:00,38.35,46.484,1006.65,heatwave
AWS_AP08,2025-03-14 15:00:00,40.042,5.106,991.357,heatwave
AWS_AP09,2025-03-14 15:00:00,39.545,7.77,965.764,heatwave
AWS_AP10,2025-03-14 15:00:00,35.277,40.821,1004.954,heatwave
AWS_AP11,2025-03-14 15:00:00,38.964,9.583,968.539,heatwave
AWS_AP12,2025-03-14 15:00:00,37.048,40.812,1004.866,heatwave
AWS_AP13,2025-03-14 15:00:00,38.03,41.638,1007.523,heatwave
AWS_AP14,2025-03-14 15:00:00,36.761,47.675,1006.146,heatwave
AWS_AP15,2025-03-14 15:00:00,35.728,45.391,1008.999,heatwave
AWS_AP16,2025-03-14 15:00:00,36.072,43.96,994.32,heatwave
AWS_AP17,2025-03-14 15:00:00,40.586,5.023,990.626,heatwave
AWS_AP18,2025-03-14 15:00:00,39.19,5.0,946.911,heatwave
AWS_AP19,2025-03-14 15:00:00,36.663,45.683,1007.882,heatwave
AWS_AP20,2025-03-14 15:00:00,37.85,5.166,934.294,heatwave
AWS_AP01,2025-06-26 12:00:00,31.894,74.029,1007.184,jump
AWS_AP02,2025-08-15 10:45:00,28.864,72.465,1017.247,jump
AWS_AP03,2025-12-23 18:00:00,26.681,40.656,999.072,jump
AWS_AP04,2025-07-10 14:45:00,32.762,68.071,1012.149,jump
AWS_AP05,2025-05-17 01:00:00,27.006,48.109,981.955,jump
AWS_AP06,2025-01-20 05:15:00,22.651,83.325,1023.71,jump
AWS_AP07,2025-02-01 09:00:00,23.995,70.277,1026.671,jump
AWS_AP08,2025-12-21 01:30:00,15.77,70.062,1008.805,jump
AWS_AP09,2025-05-31 23:15:00,27.915,52.901,971.106,jump
AWS_AP10,2025-04-21 13:15:00,34.271,51.586,1015.656,jump
AWS_AP11,2025-01-14 13:45:00,23.636,43.524,980.806,jump
AWS_AP12,2025-05-07 21:45:00,29.669,65.988,1013.167,jump
AWS_AP13,2025-10-04 10:45:00,29.729,71.359,1015.069,jump
AWS_AP14,2025-03-10 03:30:00,28.408,67.054,1019.024,jump
AWS_AP15,2025-03-11 12:30:00,34.473,42.113,1025.732,jump
AWS_AP16,2025-12-24 22:45:00,20.982,77.044,1009.496,jump
AWS_AP17,2025-07-22 08:15:00,28.925,66.516,996.923,jump
AWS_AP18,2025-06-27 01:00:00,24.316,77.883,953.605,jump
AWS_AP19,2025-08-12 04:30:00,22.925,95.674,1013.135,jump
AWS_AP20,2025-01-17 16:00:00,26.522,33.504,948.089,jump
AWS_AP01,2025-05-10 15:00:00,52.324,52.529,998.502,spike
AWS_AP02,2025-08-12 21:00:00,43.911,79.884,1002.196,spike
AWS_AP03,2025-02-25 11:45:00,49.64,33.696,989.703,spike
AWS_AP04,2025-01-27 00:30:00,36.298,83.798,1009.906,spike
AWS_AP05,2025-03-08 11:45:00,47.177,26.107,976.173,spike
AWS_AP06,2025-02-08 18:15:00,46.984,66.983,1011.855,spike
AWS_AP07,2025-04-16 02:45:00,46.782,75.791,1003.509,spike
AWS_AP08,2025-11-02 12:00:00,44.864,31.44,992.534,spike
AWS_AP09,2025-10-17 17:30:00,42.474,36.053,964.15,spike
AWS_AP10,2025-05-21 13:45:00,54.763,56.454,999.286,spike
