station_id,scenario,target_timestamp,temperature_c,relative_humidity_pct,pressure_hpa,prior_history_rows_seeded,exact_timestamp_context_stations,regional_heatwave_demo,source_benchmark,fixture_row_is_real_benchmark
AWS_AP01,cold_spell,2025-01-27 22:00:00,17.004,77.461,1008.542,96,9,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP02,cold_spell,2025-01-28 00:00:00,17.272,84.649,1009.945,96,0,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP03,cold_spell,2025-01-11 17:45:00,23.259,48.667,991.42,96,6,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP04,cold_spell,2025-01-27 23:30:00,17.44,82.494,1010.309,96,6,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP05,cold_spell,2025-01-11 17:00:00,23.244,43.505,977.074,96,7,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP06,cold_spell,2025-01-27 18:15:00,23.811,66.45,1010.852,96,10,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP07,cold_spell,2025-01-28 00:00:00,17.34,85.154,1011.875,96,0,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP08,cold_spell,2025-01-12 00:00:00,14.9,69.572,996.117,96,1,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP09,cold_spell,2025-01-11 23:45:00,14.354,73.63,970.143,96,5,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP10,cold_spell,2025-01-27 23:15:00,17.789,83.075,1009.096,96,7,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP11,cold_spell,2025-01-12 00:00:00,13.239,72.308,972.1,96,1,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP12,cold_spell,2025-01-28 00:00:00,14.713,82.752,1009.541,96,0,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP13,cold_spell,2025-01-28 00:00:00,15.528,84.48,1012.403,96,0,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP14,cold_spell,2025-01-27 22:45:00,17.242,80.209,1009.98,96,8,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP15,cold_spell,2025-01-28 00:00:00,16.825,85.258,1012.399,96,0,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP16,cold_spell,2025-01-27 14:00:00,22.183,62.876,995.924,96,11,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP17,cold_spell,2025-01-12 00:00:00,16.237,72.272,995.108,96,1,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP18,cold_spell,2025-01-12 00:00:00,11.999,71.772,950.777,96,1,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP19,cold_spell,2025-01-28 00:00:00,16.937,86.154,1012.018,96,0,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP20,cold_spell,2025-01-12 03:00:00,12.315,79.56,934.856,96,0,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP01,drop,2025-03-23 18:30:00,36.153,43.791,990.51,385,6,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP02,drop,2025-03-31 17:15:00,32.065,32.517,1004.47,385,0,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP03,drop,2025-01-15 02:45:00,-1.362,78.375,989.919,192,1,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP04,drop,2025-03-17 05:15:00,24.468,43.812,1004.861,289,0,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP05,drop,2025-01-26 16:45:00,27.212,-3.456,975.576,192,2,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP06,drop,2025-03-11 11:00:00,24.719,49.732,1009.459,385,0,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP07,drop,2025-02-05 09:30:00,25.971,63.347,997.87,221,1,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP08,drop,2025-03-21 11:45:00,20.704,22.784,992.732,293,0,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP09,drop,2025-02-26 12:00:00,32.67,3.518,969.132,193,1,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP10,drop,2025-04-06 11:00:00,30.41,22.504,1005.143,385,0,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP11,drop,2025-02-08 09:45:00,26.175,15.157,972.941,235,1,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP12,drop,2025-02-04 01:30:00,20.746,81.474,1001.412,192,1,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP13,drop,2025-02-27 17:30:00,29.921,62.233,995.477,193,0,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP14,drop,2025-04-13 17:15:00,38.381,19.036,1001.601,398,0,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP15,drop,2025-02-24 05:30:00,22.927,47.036,1009.884,291,0,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP16,drop,2025-02-11 18:45:00,28.026,41.77,995.766,192,0,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP17,drop,2025-01-13 09:30:00,10.899,58.295,996.229,192,0,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP18,drop,2025-01-20 09:45:00,13.341,47.139,951.278,192,2,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP19,drop,2025-02-22 14:00:00,30.83,54.665,996.411,192,0,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP20,drop,2025-01-20 04:45:00,4.294,69.198,936.316,219,1,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP01,heatwave,2025-03-10 00:00:00,27.993,65.504,1005.685,288,20,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP02,heatwave,2025-03-10 00:00:00,30.737,57.622,1008.055,288,20,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP03,heatwave,2025-03-10 00:00:00,27.458,44.672,989.947,201,20,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP04,heatwave,2025-03-10 00:00:00,28.684,67.982,1006.257,192,20,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP05,heatwave,2025-03-10 00:00:00,26.725,43.301,976.273,230,20,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP06,heatwave,2025-03-10 00:00:00,28.625,63.206,1011.108,288,20,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP07,heatwave,2025-03-10 00:00:00,29.517,66.17,1008.312,333,20,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP08,heatwave,2025-03-10 00:00:00,27.2,48.37,992.932,196,20,True,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP09,heatwave,2025-03-10 00:00:00,26.84,45.672,967.673,223,20,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP10,heatwave,2025-03-10 00:00:00,28.871,62.621,1007.069,192,20,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP11,heatwave,2025-03-10 00:00:00,26.796,46.036,969.432,239,20,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP12,heatwave,2025-03-10 00:00:00,29.924,65.322,1007.457,324,20,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP13,heatwave,2025-03-10 00:00:00,30.184,66.229,1009.942,289,20,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP14,heatwave,2025-03-10 00:00:00,29.405,62.727,1008.746,288,20,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP15,heatwave,2025-03-10 00:00:00,29.118,63.256,1010.548,387,20,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP16,heatwave,2025-03-10 00:00:00,27.917,66.372,995.921,288,20,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP17,heatwave,2025-03-10 00:00:00,28.915,44.721,990.93,323,20,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP18,heatwave,2025-03-10 00:00:00,24.989,44.638,948.207,194,20,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP19,heatwave,2025-03-10 00:00:00,28.143,64.865,1010.458,288,20,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP20,heatwave,2025-03-10 00:00:00,24.838,46.092,935.643,226,20,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
AWS_AP01,jump,2025-06-09 19:30:00,32.327,65.384,1004.051,481,0,False,C:\Users\dilee\Desktop\Null_Deviants\ML training\SIH26073_AP_AWS_observations.csv,True
